time,user_rawx,pred_rawx,usr_rawy,pred_rawy
49.3587,-0.0244646,-0.0281994,0.139842,0.135427
49.3597,-0.0252411,-0.028965,0.1407,0.136368
49.3607,-0.0260288,-0.0297123,0.14149,0.137254
49.3617,-0.0268245,-0.0304426,0.142212,0.138089
49.3627,-0.0276273,-0.0311719,0.142867,0.138872
49.3637,-0.0284349,-0.0318957,0.143453,0.139597
49.3647,-0.0292449,-0.0326165,0.143969,0.140266
49.3657,-0.0300569,-0.0333451,0.14442,0.140876
49.3667,-0.0308694,-0.0340762,0.144801,0.141417
49.3677,-0.0316819,-0.0348094,0.145119,0.141897
49.3687,-0.0324943,-0.0355541,0.145369,0.142317
49.3697,-0.0333063,-0.0363084,0.145555,0.142674
49.3707,-0.0341178,-0.0370657,0.145679,0.142957
49.3717,-0.034927,-0.0378252,0.145735,0.143159
49.3727,-0.0357342,-0.0385863,0.145725,0.143287
49.3737,-0.0365385,-0.0393424,0.145643,0.143331
49.3747,-0.0373386,-0.0400965,0.14549,0.143282
49.3757,-0.0381355,-0.0408571,0.145267,0.143151
49.3767,-0.0389275,-0.0416172,0.144979,0.142954
49.3777,-0.0397144,-0.042378,0.14463,0.1427
49.3787,-0.0404967,-0.0431388,0.144226,0.142385
49.3797,-0.0412717,-0.0438884,0.143771,0.142008
49.3807,-0.0420393,-0.044636,0.143267,0.141572
49.3817,-0.0427987,-0.045379,0.142723,0.141076
49.3827,-0.0435478,-0.0460953,0.142132,0.140509
49.3837,-0.0442838,-0.0467901,0.141495,0.139874
49.3847,-0.0450044,-0.0474666,0.140813,0.139174
49.3857,-0.0457059,-0.0481038,0.140089,0.138409
49.3867,-0.0463844,-0.0486967,0.139328,0.137597
49.3877,-0.0470381,-0.0492607,0.138535,0.136757
49.3887,-0.0476656,-0.0497974,0.137719,0.135897
49.3897,-0.0482635,-0.0503017,0.136883,0.135012
49.3907,-0.0488294,-0.0507855,0.136031,0.134099
49.3917,-0.0493634,-0.0512451,0.135166,0.133166
49.3927,-0.0498636,-0.0516638,0.134288,0.132217
49.3937,-0.050329,-0.0520516,0.133403,0.131253
49.3947,-0.0507586,-0.0524209,0.132516,0.130284
49.3957,-0.0511504,-0.0527624,0.13163,0.12932
49.3967,-0.0515059,-0.0530735,0.130748,0.128365
49.3977,-0.0518272,-0.0533579,0.129865,0.127407
49.3987,-0.0521152,-0.0536333,0.128981,0.126444
49.3997,-0.052373,-0.0539194,0.128098,0.125477
49.4007,-0.0526018,-0.0541863,0.127215,0.124516
49.4017,-0.0527998,-0.0543932,0.126345,0.123592
49.4027,-0.052965,-0.0545515,0.125489,0.122702
49.4037,-0.0530979,-0.0546759,0.124648,0.121837
49.4047,-0.0531983,-0.0547517,0.123825,0.120997
49.4057,-0.0532668,-0.0547878,0.123015,0.120172
49.4067,-0.053307,-0.0548165,0.122221,0.119357
49.4077,-0.0533208,-0.0548311,0.121435,0.118556
49.4087,-0.0533076,-0.0548,0.12066,0.117774
49.4097,-0.0532667,-0.0547196,0.119892,0.117009
49.4107,-0.0531992,-0.054592,0.119128,0.116254
49.4117,-0.0531042,-0.0544143,0.118369,0.115508
49.4127,-0.0529821,-0.0541951,0.117613,0.114768
49.4137,-0.0528318,-0.053938,0.116859,0.114034
49.4147,-0.0526512,-0.0536316,0.1161,0.113297
49.4157,-0.0524388,-0.0532717,0.115329,0.112541
49.4167,-0.0521935,-0.0528586,0.114544,0.111758
49.4177,-0.0519143,-0.0524013,0.113735,0.110944
49.4187,-0.0516021,-0.0519184,0.112908,0.110115
49.4197,-0.0512578,-0.0514139,0.112061,0.109277
49.4207,-0.0508817,-0.0508859,0.111194,0.108431
49.4217,-0.0504755,-0.0503367,0.110316,0.107596
49.4227,-0.0500393,-0.0497632,0.109432,0.106763
49.4237,-0.049574,-0.0491679,0.108545,0.105934
49.4247,-0.0490822,-0.0485591,0.107659,0.105125
49.4257,-0.0485664,-0.0479432,0.10678,0.104334
49.4267,-0.0480309,-0.0473363,0.105911,0.103552
49.4277,-0.04748,-0.0467466,0.105057,0.102788
49.4287,-0.0469159,-0.0461624,0.104221,0.102054
49.4297,-0.0463395,-0.0455766,0.103404,0.101343
49.4307,-0.0457525,-0.0449824,0.102603,0.100644
49.4317,-0.0451552,-0.0443687,0.10182,0.0999526
49.4327,-0.0445477,-0.0437418,0.101049,0.0992679
49.4337,-0.0439311,-0.0431211,0.100295,0.0986015
49.4347,-0.043307,-0.04251,0.0995562,0.0979544
49.4357,-0.0426763,-0.0419026,0.0988328,0.0973254
49.4367,-0.0420399,-0.041304,0.0981297,0.0967201
49.4377,-0.041399,-0.0407184,0.0974432,0.0961296
49.4387,-0.0407534,-0.0401372,0.0967735,0.0955548
49.4397,-0.0401029,-0.0395511,0.0961207,0.0950002
49.4407,-0.0394476,-0.0389582,0.0954872,0.0944558
49.4417,-0.038786,-0.0383617,0.0948715,0.0939244
49.4427,-0.038119,-0.0377738,0.094276,0.0934165
49.4437,-0.0374489,-0.0371931,0.093697,0.092921
49.4447,-0.0367753,-0.0366119,0.0931291,0.0924229
49.4457,-0.0360989,-0.0360434,0.0925717,0.0919172
49.4467,-0.0354201,-0.0354835,0.0920174,0.0914017
49.4477,-0.0347372,-0.0349007,0.091469,0.090887
49.4487,-0.0340482,-0.0342933,0.0909234,0.0903693
49.4497,-0.0333537,-0.0336797,0.0903748,0.0898399
49.4507,-0.0326541,-0.0330555,0.0898241,0.0893087
49.4517,-0.0319476,-0.0324252,0.0892716,0.0887726
49.4527,-0.0312375,-0.0318115,0.0887188,0.0882277
49.4537,-0.0305266,-0.0312086,0.0881654,0.0876893
49.4547,-0.0298152,-0.0306052,0.0876158,0.0871627
49.4557,-0.0291065,-0.0300209,0.0870674,0.0866326
49.4567,-0.0284016,-0.0294482,0.0865198,0.0860927
49.4577,-0.0277004,-0.0288605,0.085972,0.0855461
49.4587,-0.0270036,-0.0282601,0.0854215,0.0849924
49.4597,-0.0263112,-0.0276544,0.0848707,0.0844399
49.4607,-0.025624,-0.0270433,0.0843254,0.0838937
49.4617,-0.0249418,-0.0264266,0.0837862,0.0833601
49.4627,-0.0242651,-0.0258021,0.0832621,0.0828625
49.4637,-0.0235939,-0.0251674,0.0827591,0.0823987
49.4647,-0.0229274,-0.0245204,0.082277,0.0819582
49.4657,-0.0222657,-0.0238553,0.0818235,0.0815521
49.4667,-0.0216066,-0.0231675,0.0813981,0.0811723
49.4677,-0.0209492,-0.0224629,0.0810007,0.0808119
49.4687,-0.0202928,-0.0217439,0.0806347,0.0804795
49.4697,-0.0196357,-0.0210035,0.0802993,0.0801699
49.4707,-0.0189774,-0.0202478,0.0799953,0.0798879
49.4717,-0.0183172,-0.0194843,0.0797262,0.079642
49.4727,-0.0176542,-0.0187121,0.079491,0.0794238
49.4737,-0.0169883,-0.017932,0.07929,0.0792318
49.4747,-0.016319,-0.0171431,0.079121,0.0790637
49.4757,-0.0156467,-0.0163536,0.0789793,0.0789061
49.4767,-0.0149727,-0.0155719,0.0788585,0.0787523
49.4777,-0.0142973,-0.0147981,0.0787565,0.078606
49.4787,-0.0136228,-0.0140397,0.0786738,0.0784678
49.4797,-0.0129517,-0.0132984,0.078607,0.0783445
49.4807,-0.0122848,-0.0125683,0.0785612,0.0782552
49.4817,-0.0116232,-0.0118575,0.0785389,0.0781942
49.4827,-0.0109689,-0.0111607,0.0785365,0.0781454
49.4837,-0.010322,-0.0104628,0.0785537,0.0781158
49.4847,-0.00968393,-0.00977194,0.0785895,0.0780998
49.4857,-0.00905531,-0.00909563,0.0786391,0.0780852
49.4867,-0.00843552,-0.00842558,0.0787056,0.0780835
49.4877,-0.00782459,-0.00775964,0.0787891,0.0781017
49.4887,-0.00722292,-0.00709731,0.0788909,0.0781408
49.4897,-0.00663088,-0.00643799,0.07901,0.0781992
49.4907,-0.00604763,-0.00578759,0.0791426,0.0782678
49.4917,-0.00547182,-0.00514045,0.0792886,0.0783456
49.4927,-0.00490035,-0.00448611,0.0794499,0.0784373
49.4937,-0.00433281,-0.00382424,0.079629,0.0785461
49.4947,-0.00376936,-0.00315722,0.0798251,0.0786897
49.4957,-0.0032086,-0.00249633,0.0800506,0.0788822
49.4967,-0.00265057,-0.00186279,0.0803065,0.0791025
49.4977,-0.00209532,-0.00124946,0.0805909,0.0793476
49.4987,-0.00154284,-0.00063721,0.0809073,0.0796291
49.4997,-0.000994569,-3.53761e-05,0.0812464,0.0799143
49.5007,-0.000450917,0.000547216,0.0816006,0.0801892
49.5017,8.98538e-05,0.00111423,0.0819727,0.0804738
49.5027,0.000627956,0.00167286,0.0823613,0.0807637
49.5037,0.00116298,0.00223405,0.0827606,0.0810645
49.5047,0.00169342,0.00278627,0.0831709,0.0813888
49.5057,0.00221613,0.00329893,0.0835865,0.0817159
49.5067,0.00272929,0.0037646,0.0840079,0.0820388
49.5077,0.00323114,0.00419761,0.0844376,0.0823739
49.5087,0.00372016,0.00461165,0.084875,0.0827364
49.5097,0.00419521,0.00500773,0.0853282,0.0831346
49.5107,0.00465364,0.00537302,0.0857957,0.0835492
49.5117,0.00509316,0.0057043,0.0862752,0.0839732
49.5127,0.0055123,0.00600311,0.08677,0.0844177
49.5137,0.00590847,0.0062671,0.0872751,0.0848704
49.5147,0.00628112,0.00650417,0.0877927,0.0853339
49.5157,0.00663011,0.00672065,0.0883272,0.0858149
49.5167,0.00695514,0.00691932,0.0888726,0.0863084
49.5177,0.00725752,0.0071064,0.0894328,0.0868265
49.5187,0.00753701,0.00728057,0.0900049,0.0873576
49.5197,0.0077947,0.00744323,0.0905867,0.0878894
49.5207,0.00803312,0.00759308,0.0911836,0.0884385
49.5217,0.00825209,0.00772289,0.0917927,0.0890051
49.5227,0.00845273,0.00784446,0.0924134,0.0895878
49.5237,0.00863662,0.0079605,0.0930446,0.090182
49.5247,0.00880434,0.00805296,0.0936816,0.0907707
49.5257,0.00895699,0.00812566,0.094323,0.0913613
49.5267,0.00909545,0.00819271,0.0949713,0.0919667
49.5277,0.00922039,0.0082469,0.0956261,0.092588
49.5287,0.00933044,0.00827298,0.0962937,0.093239
49.5297,0.00942413,0.00826666,0.0969817,0.0939217
49.5307,0.00950056,0.00823153,0.0976862,0.0946274
49.5317,0.00955889,0.00816565,0.0984123,0.0953638
49.5327,0.00959803,0.00807121,0.099158,0.0961124
49.5337,0.00961712,0.0079582,0.0999161,0.0968534
49.5347,0.00961573,0.00782477,0.100689,0.0976072
49.5357,0.00959194,0.00765954,0.101478,0.0983793
49.5367,0.00954407,0.00746169,0.102285,0.0991667
49.5377,0.00947129,0.00723249,0.103111,0.099986
49.5387,0.0093715,0.00696525,0.103962,0.100837
49.5397,0.00924306,0.00665917,0.104833,0.101701
49.5407,0.00908379,0.00631401,0.105722,0.102577
49.5417,0.00889093,0.00592457,0.106627,0.103453
49.5427,0.00866291,0.00549233,0.107537,0.104315
49.5437,0.00839896,0.00502001,0.108451,0.105174
49.5447,0.00809865,0.0045134,0.109369,0.106031
49.5457,0.00776211,0.00398185,0.11028,0.106871
49.5467,0.00738871,0.00342585,0.111181,0.10771
49.5477,0.00697844,0.00283536,0.112071,0.108537
49.5487,0.00653023,0.00219804,0.112933,0.109316
49.5497,0.00604208,0.00151389,0.113762,0.110063
49.5507,0.00551357,0.000790408,0.114553,0.110783
49.5517,0.00494385,3.83322e-05,0.115294,0.111461
49.5527,0.00433827,-0.00073658,0.115998,0.112128
49.5537,0.00369787,-0.00153084,0.116668,0.112785
49.5547,0.00302406,-0.00232336,0.117293,0.113424
49.5557,0.00232169,-0.00311138,0.117882,0.114059
49.5567,0.00159141,-0.00393231,0.118428,0.114647
49.5577,0.000836769,-0.00478854,0.11893,0.115179
49.5587,5.85324e-05,-0.00565093,0.119386,0.115688
49.5597,-0.000743359,-0.0065058,0.119794,0.116189
49.5607,-0.0015668,-0.00735135,0.120161,0.116689
49.5617,-0.00241313,-0.00821304,0.12048,0.117165
