time,inputx,predictx,inputy,predicty
11.212,-0.0281562,-0.0197316,-0.0330357,-0.0330049
11.213,-0.0281674,-0.0197605,-0.0324294,-0.0319417
11.214,-0.0281862,-0.0198178,-0.0318462,-0.0308407
11.215,-0.0282115,-0.0198968,-0.0312865,-0.0297249
11.216,-0.0282435,-0.0200049,-0.030753,-0.0286069
11.217,-0.0282832,-0.0201492,-0.03025,-0.0275073
11.218,-0.0283314,-0.0203213,-0.0297833,-0.0264503
11.219,-0.0283878,-0.0205089,-0.029356,-0.025443
11.22,-0.0284533,-0.020704,-0.0289728,-0.0244739
11.221,-0.028527,-0.0208999,-0.0286341,-0.0235296
11.222,-0.0286049,-0.0211081,-0.0283414,-0.0226179
11.223,-0.0286864,-0.0213543,-0.0280991,-0.021759
11.224,-0.0287712,-0.0216357,-0.027907,-0.0209574
11.225,-0.0288571,-0.021947,-0.0277706,-0.0202186
11.226,-0.0289447,-0.0223177,-0.0276913,-0.0195461
11.227,-0.0290352,-0.0227413,-0.0276649,-0.0189441
11.228,-0.0291263,-0.0231674,-0.0276863,-0.0184247
11.229,-0.029218,-0.0235837,-0.0277492,-0.0179877
11.23,-0.0293099,-0.024005,-0.0278499,-0.0176333
11.231,-0.0294,-0.0244364,-0.0279863,-0.0173755
11.232,-0.0294864,-0.0248792,-0.0281588,-0.017229
11.233,-0.0295681,-0.0253277,-0.0283653,-0.0171905
11.234,-0.0296456,-0.0257857,-0.0286008,-0.0172356
11.235,-0.029718,-0.026257,-0.0288638,-0.0173439
11.236,-0.0297862,-0.0267306,-0.0291495,-0.0175066
11.237,-0.0298509,-0.0271881,-0.0294557,-0.0177319
11.238,-0.0299115,-0.0276071,-0.0297789,-0.0180275
11.239,-0.0299685,-0.0279861,-0.0301135,-0.0183855
11.24,-0.0300229,-0.0283271,-0.0304528,-0.0187955
11.241,-0.0300739,-0.028625,-0.0307949,-0.0192506
11.242,-0.0301222,-0.0288898,-0.0311407,-0.0197459
11.243,-0.0301675,-0.0291263,-0.0314871,-0.0202784
11.244,-0.0302092,-0.0293333,-0.0318297,-0.0208499
11.245,-0.0302473,-0.0295174,-0.0321603,-0.0214492
11.246,-0.0302818,-0.0296814,-0.0324763,-0.0220555
11.247,-0.0303128,-0.0298298,-0.0327728,-0.0226545
11.248,-0.0303407,-0.0299633,-0.033053,-0.0232606
11.249,-0.0303657,-0.0300759,-0.0333195,-0.0238888
11.25,-0.0303883,-0.0301637,-0.0335673,-0.0245196
11.251,-0.0304089,-0.0302248,-0.0337963,-0.0251291
11.252,-0.030428,-0.0302573,-0.034001,-0.0256959
11.253,-0.030447,-0.0302588,-0.0341792,-0.0262232
11.254,-0.0304663,-0.030227,-0.0343345,-0.0267321
11.255,-0.0304871,-0.0301661,-0.0344683,-0.0272199
11.256,-0.0305105,-0.0300773,-0.0345841,-0.02768
11.257,-0.030536,-0.0299539,-0.0346841,-0.0281034
11.258,-0.0305643,-0.0298066,-0.0347684,-0.0284772
11.259,-0.0305961,-0.0296459,-0.0348359,-0.0287983
11.26,-0.0306307,-0.0294734,-0.0348895,-0.0290707
11.261,-0.0306685,-0.0293022,-0.0349298,-0.0292994
11.262,-0.0307101,-0.0291373,-0.0349601,-0.0294953
11.263,-0.0307544,-0.0289751,-0.0349873,-0.0296648
11.264,-0.030802,-0.028825,-0.0350142,-0.0297988
11.265,-0.0308532,-0.0286873,-0.0350401,-0.0298948
11.266,-0.0309083,-0.0285534,-0.0350636,-0.0299609
11.267,-0.0309674,-0.0284283,-0.0350834,-0.0300005
11.268,-0.0310306,-0.0283158,-0.0350955,-0.0300168
11.269,-0.0310991,-0.0282065,-0.0351,-0.0300266
11.27,-0.0311738,-0.0280874,-0.0351015,-0.0300464
11.271,-0.0312538,-0.027967,-0.0351016,-0.0300724
11.2721,-0.0313398,-0.0278673,-0.0351034,-0.0300943
11.2731,-0.0314338,-0.0277784,-0.0351075,-0.0301026
11.2741,-0.0315375,-0.0276925,-0.035109,-0.0300866
11.2751,-0.0316581,-0.0276565,-0.0351054,-0.0300439
11.2762,-0.031797,-0.0276957,-0.0350959,-0.029975
11.2772,-0.0319439,-0.0277832,-0.0350872,-0.0298935
11.2782,-0.0320938,-0.0279287,-0.0350885,-0.0298138
11.2792,-0.0322451,-0.0281399,-0.0351035,-0.0297308
11.2802,-0.0323933,-0.0283843,-0.0351369,-0.0296446
11.2812,-0.032536,-0.028652,-0.0351906,-0.0295593
11.2822,-0.0326711,-0.0289327,-0.0352633,-0.0294761
11.2832,-0.0327959,-0.0292069,-0.0353565,-0.0294045
11.2842,-0.0329085,-0.0294705,-0.0354688,-0.0293507
11.2852,-0.033007,-0.029719,-0.0356005,-0.0293279
11.2862,-0.0330917,-0.0299611,-0.0357502,-0.0293463
11.2872,-0.0331622,-0.0302024,-0.0359195,-0.0294007
11.2882,-0.0332173,-0.0304366,-0.0361067,-0.0294797
11.2892,-0.033258,-0.0306667,-0.0363119,-0.0295808
11.2902,-0.0332835,-0.0308803,-0.0365386,-0.0297081
11.2912,-0.0332932,-0.0310675,-0.0367863,-0.0298553
11.2922,-0.0332889,-0.0312373,-0.0370558,-0.030019
11.2932,-0.0332701,-0.0313855,-0.0373457,-0.030201
11.2942,-0.0332381,-0.0315094,-0.037652,-0.0303996
11.2952,-0.0331946,-0.0316028,-0.0379743,-0.0306188
11.2962,-0.0331389,-0.0316503,-0.0383094,-0.0308592
11.2972,-0.0330722,-0.0316635,-0.0386563,-0.0311294
11.2982,-0.0329935,-0.0316479,-0.0390129,-0.0314384
11.2992,-0.0329015,-0.0315994,-0.0393748,-0.0317793
11.3002,-0.0327967,-0.0315326,-0.0397419,-0.0321447
11.3012,-0.0326794,-0.0314507,-0.0401111,-0.0325267
11.3022,-0.03255,-0.0313564,-0.0404824,-0.0329282
11.3032,-0.0324099,-0.0312543,-0.0408542,-0.0333529
11.3042,-0.032258,-0.0311287,-0.0412284,-0.0337923
11.3052,-0.032094,-0.0309707,-0.0416036,-0.0342325
11.3062,-0.0319173,-0.0307817,-0.0419809,-0.0346697
11.3072,-0.0317267,-0.0305675,-0.0423646,-0.0351073
11.3082,-0.0315231,-0.0303428,-0.0427551,-0.0355387
11.3092,-0.0313073,-0.0301036,-0.0431544,-0.0359612
11.3102,-0.0310799,-0.0298389,-0.043562,-0.0363772
11.3112,-0.0308424,-0.0295474,-0.0439751,-0.0367871
11.3122,-0.0305941,-0.0292172,-0.0443892,-0.0371958
11.3132,-0.0303348,-0.028842,-0.044804,-0.0376103
11.3142,-0.0300652,-0.0284229,-0.0452168,-0.0380352
11.3152,-0.0297852,-0.0279639,-0.0456278,-0.0384801
11.3162,-0.0294952,-0.0274866,-0.0460357,-0.0389476
11.3172,-0.0291951,-0.0270005,-0.0464378,-0.0394268
11.3182,-0.0288856,-0.0264895,-0.0468348,-0.039908
11.3192,-0.0285676,-0.0259414,-0.0472255,-0.0403826
11.3202,-0.0282423,-0.02536,-0.0476109,-0.0408536
11.3212,-0.0279114,-0.0247541,-0.0479907,-0.0413269
11.3222,-0.027578,-0.0241138,-0.048363,-0.0417959
11.3232,-0.0272412,-0.0234254,-0.0487247,-0.0422541
11.3242,-0.0269028,-0.022712,-0.0490716,-0.0427002
11.3252,-0.0265664,-0.0219997,-0.0493987,-0.0431395
11.3262,-0.026229,-0.0212803,-0.0497018,-0.0435805
11.3272,-0.0258898,-0.0205723,-0.0499766,-0.0440245
11.3282,-0.0255485,-0.0199009,-0.0502195,-0.0444693
11.3292,-0.0252042,-0.0192553,-0.0504271,-0.0449115
11.3302,-0.0248573,-0.0186193,-0.0505962,-0.0453464
11.3312,-0.024508,-0.0179633,-0.0507246,-0.0457677
11.3322,-0.0241556,-0.0172697,-0.0508103,-0.0461663
11.3332,-0.0238011,-0.0165511,-0.050852,-0.046533
11.3342,-0.0234455,-0.0158184,-0.0508489,-0.0468594
